Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Freight road\LCVs\BEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\FCEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\LCVs\FCEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\LCVs\FCEV\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\ICE,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\LCVs\ICE,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\LCVs\ICE\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\ICE\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\ICE\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\ICE\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\PHEV,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\LCVs\PHEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\LCVs\PHEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\PHEV,PHEV Electric Driving Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\BEV heavy,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\BEV heavy,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\BEV heavy\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\BEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\BEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\BEV medium\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\FCEV heavy,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\FCEV heavy,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\FCEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\FCEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\FCEV medium\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\HEV heavy,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\HEV heavy,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\HEV heavy\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
